Prenom,Nom,Nom Complet,Identifiant,Adresse Mail,Societe,Site,Departement,Service,Fonction,Manager-Prenom,Manager-Nom,Nom de PC,Marque PC,Date de naissance,Telephone fixe,Telephone portable,Télétravail
Christophe,Leroux,Christophe Leroux,,,EcoTechSolutions,Bordeaux,Direction des Ressources Humaines,-,Responsable recrutement,Rémy,Lobosse,PA20618,HP,10/05/1992  ,0510987654,0784105738  ,Non
Clara,Garcia,Clara Garcia,,,EcoTechSolutions,Bordeaux,Développement,Développement,Développeur,Sofia,Rossi,PA48530,LENOVO,25/12/1993  ,-,-,Non
Corentin,Arnaud,Corentin Arnaud,,,EcoTechSolutions,Bordeaux,Communication,Communication interne,Community manager,Noémie,Leloir,PA11094,DELL,01/01/1991  ,0576543210,0710630503  ,Non
Diego,Aubert,Diego Aubert,,,EcoTechSolutions,Bordeaux,Communication,Communication interne,Community manager,Noémie,Leloir,PA19149,DELL,14/05/1989  ,0556789012,0736672209  ,Non
Dorian,Blanchard,Dorian Blanchard,,,EcoTechSolutions,Bordeaux,Service Commercial,B2B,Commercial,Pierre,David,PA82880,DELL,18/08/1991  ,0534567890,0655939808  ,Non
Dylan,Marie,Dylan Marie,,,EcoTechSolutions,Bordeaux,Service Commercial,Service achat,Acheteur,Kylian,Martinez,PA59874,DELL,30/03/1991  ,0540987654,0690730213  ,Non
Elena,Sánchez,Elena Sánchez,,,EcoTechSolutions,Bordeaux,Développement,Test et qualité,Développeur,Sofia,Rossi,PA83940,LENOVO,23/12/1986  ,0576543210,0628631838  ,Non
Erwan,Faure,Erwan Faure,,,EcoTechSolutions,Bordeaux,Communication,Communication interne,Chargé de communication,Noémie,Leloir,PA10218,,17/06/1993  ,0510987654,0707561174  ,Non
Esteban,Gonzàlez,Esteban Gonzàlez,,,UBIHard,Paris,Développement,Test et qualité,Développeur,Sofia,Rossi,-,-,-,-,-,-
Fabien,Hy-D’Jykov,Fabien Hy-D’Jykov,,,UBIHard,Paris,Développement,Test et qualité,Développeur,Sofia,Rossi,-,-,-,0512345678,0619087602,-
Fabien,Lecointre,Fabien Lecointre,,,UBIHard,Paris,Développement,Test et qualité,Développeur,Sofia,Rossi,-,-,-,-,-,-
Felianne,Fernandez,Felianne Fernandez,,,EcoTechSolutions,Bordeaux,Communication,Relation Médias,Rédacteur,Noémie,Leloir,PA92969,DELL,17/11/1992  ,0532109876,0655605121  ,Non
Felix,Hoffmann,Felix Hoffmann,,,EcoTechSolutions,Bordeaux,Développement,analyse et conception,Développeur,Sofia,Rossi,PA41987,HP,26/08/1987  ,-,-,Non
Felix,Jean,Felix Jean,,,Studio Dlight,Nantes,Communication,Relation Médias,Monteur,Noémie,Leloir,-,-,-,-,0684213048,-
Florent,Houssay,Florent Houssay,,,EcoTechSolutions,Bordeaux,Développement,analyse et conception,Développeur,Sofia,Rossi,PA90613,HP,12/10/1993  ,-,-,Non
Florian,Rellay,Florian Rellay,,,EcoTechSolutions,Bordeaux,Développement,Développement,Développeur,Sofia,Rossi,PA33002,TOSHIBA,17/05/1991  ,0587654321,0749534624  ,Non
Héléna,Kusmérowa,Héléna Kusmérowa,,,UBIHard,Paris,Développement,Test et qualité,Développeur,Sofia,Rossi,-,-,-,-,-,-
Jade,Lefevre,Jade Lefevre,,,EcoTechSolutions,Bordeaux,Service Commercial,ADV,Gestionnaire ADV,Bastien,Lucas,PA64810,DELL,16/11/1984  ,0587654321,0621673896  ,Non
Jules,Girard,Jules Girard,,,EcoTechSolutions,Bordeaux,Service Commercial,Service Client,Agent,Kylian,Martinez,PA39395,DELL,25/01/1985  ,0545678901,-,Non
Julie,Francois,Julie Francois,,,EcoTechSolutions,Bordeaux,Service Commercial,Service Client,Agent,Kylian,Martinez,PA79817,DELL,23/09/1994  ,0587654321,-,Non
Kylian,Martinez,Kylian Martinez,,,EcoTechSolutions,Bordeaux,Service Commercial,Service achat,Responsable achat,Pierre,David,PA19149,DELL,26/08/1988  ,0556789012,0696228844  ,Non
Latifa,Jean,Latifa Jean,,,EcoTechSolutions,Bordeaux,Service Commercial,ADV,Gestionnaire ADV,Bastien,Lucas,PA46917,DELL,02/09/1990  ,0540987654,0739063477  ,Non
Loic,Blanc,Loic Blanc,,,EcoTechSolutions,Bordeaux,Communication,Communication interne,Chargé en droit de la communication,Noémie,Leloir,PA88356,DELL,03/11/1982  ,0512345678,0747070420  ,Non
Mael,Laurent,Mael Laurent,,,EcoTechSolutions,Bordeaux,Finance et Comptabilité,Service Comptabilité,Comptable,Yacine,Hamad,PA30790,HP,14/08/1987  ,0534567890,-,Non
Manon,Brun,Manon Brun,,,EcoTechSolutions,Bordeaux,Finance et Comptabilité,Service Comptabilité,Comptable,Yacine,Hamad,PA68447,LENOVO,11/06/1998  ,0576543210,-,Non
Matteo,Simon,Matteo Simon,,,EcoTechSolutions,Bordeaux,Finance et Comptabilité,Finance,Controleur de gestion,Yacine,Hamad,PA57512,HP,28/11/1986  ,0545678901,-,Non
Maxime,Lefebvre,Maxime Lefebvre,,,EcoTechSolutions,Bordeaux,Finance et Comptabilité,Service Comptabilité,Comptable,Yacine,Hamad,PA56314,DELL,26/05/2000  ,0587654321,-,Non
Mélanie,Carpentier,Mélanie Carpentier,,,EcoTechSolutions,Bordeaux,Direction des Ressources Humaines,-,Agent RH,Christophe,Leroux,PA31784,HP,09/08/1983  ,0534567890,-,Non
Nathan,Dupont,Nathan Dupont,,,EcoTechSolutions,Bordeaux,Service Commercial,B2B,Commercial,Pierre,David,PA12427,DELL,01/02/1992  ,0510987654,0662152312  ,Non
Niko,Gruber,Niko Gruber,,,EcoTechSolutions,Bordeaux,Développement,Recherche et Prototype,Développeur,Sofia,Rossi,PA82471,HP,17/11/1993  ,0540987654,0653178244  ,Non
Noémie,Andre,Noémie Andre,,,EcoTechSolutions,Bordeaux,Finance et Comptabilité,Finance,Controleur de gestion,Yacine,Hamad,PA12959,TOSHIBA,05/05/1995  ,0545678901,-,Non
Noémie,Leloir,Noémie Leloir,,,EcoTechSolutions,Bordeaux,Communication,-,Directrice Communication et Relations publiques,Rémy,Lobosse,PA68385,DELL,14/11/1994  ,0567890123,0628752957  ,Non
Pauline,Lambert,Pauline Lambert,,,EcoTechSolutions,Bordeaux,Service Commercial,ADV,Gestionnaire ADV,Bastien,Lucas,PA37602,DELL,10/11/1987  ,0576543210,0606722898  ,Non
Pierre,David,Pierre David,,,EcoTechSolutions,Bordeaux,Service Commercial,-,Directeur commercial,Rémy,Lobosse,PA90233,TOSHIBA,12/05/1997,0534567890,0734442721  ,Non
Quentin,Bertrand,Quentin Bertrand,,,EcoTechSolutions,Bordeaux,Finance et Comptabilité,Fiscalité,Conseiller en fiscalité,Yacine,Hamad,PA31320,LENOVO,22/08/1982  ,0534567890,-,Non
Régina,Illaconnesé,Régina Illaconnesé,,,EcoTechSolutions,Bordeaux,Communication,Relation Médias,Chargée relation presse,Noémie,Leloir,PA99009,DELL,16/11/1994  ,0587654321,0643567057  ,Non
Rémy,Leriche,Rémy Leriche,,,UBIHard,Paris,Développement,Test et qualité,Développeur,Sofia,Rossi,-,-,-,-,-,-
Rémy,Lobosse,Rémy Lobosse,,,EcoTechSolutions,Bordeaux,Direction,-,CEO,-,-,PA12959,TOSHIBA,09/05/1985  ,0587654321,0653791741  ,Non
Sofia,Rossi,Sofia Rossi,,,EcoTechSolutions,Bordeaux,Développement,-,Directeur Développement,Rémy,Lobosse,PA93655,TOSHIBA,21/09/1998  ,0512345678,0730413931  ,Non
Sophia,Leclerc,Sophia Leclerc,,,EcoTechSolutions,Bordeaux,Communication,Relation Médias,Chargée relation presse,Noémie,Leloir,PA76764,DELL,10/08/1988  ,0534567890,0732836175  ,Non
Sophie,Mercier,Sophie Mercier,,,EcoTechSolutions,Bordeaux,Développement,Recherche et Prototype,Développeur,Sofia,Rossi,PA27339,HP,11/03/1992  ,0510987654,0704209714  ,Non
Theo,Fournier,Theo Fournier,,,EcoTechSolutions,Bordeaux,Service Commercial,B2B,Commercial,Pierre,David,PA44614,DELL,16/12/1982  ,0510987654,0703432899  ,Non
Valentin,Bonnet,Valentin Bonnet,,,EcoTechSolutions,Bordeaux,Service Commercial,B2B,Commercial,Pierre,David,PA90176,DELL,23/02/1987  ,0510987654,0799413599  ,Non
Yacine,Hamad,Yacine Hamad,,,EcoTechSolutions,Bordeaux,Finance et Comptabilité,Finance,Directeur financier,Rémy,Lobosse,PA68867,HP,18/10/1992,0545678901,0648462640  ,Non
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,
